orig.ident,celltype_major,full_hallmark_emt,full_epithelial,panel313_measured_hallmark,panel280_measured_hallmark,panel313_tf_candidate,panel280_tf_candidate,panel313_full_fit_prediction,panel280_full_fit_prediction,n_cells
CID4067,PVL,0.3923130500268343,0.057430350166807836,0.9310973748072535,0.9002098432912192,0.024096385542168676,0.012048192771084338,0.33032863594706835,0.3382919894317788,83
CID4067,T-cells,0.10072067015452296,0.007357761496372538,0.07523992026056792,0.0797181574407181,0.0,0.0,0.12987631034752511,0.13334172587794743,689
CID4290A,B-cells,0.06226726450698149,0.02287360620222744,0.05899694451406189,0.06214420215908013,0.0,0.0,0.10178396832649607,0.10509952451412174,117
CID4290A,CAFs,0.8121484149619058,0.04558945062923362,2.3223486441907553,2.2546753023442325,0.0035714285714285713,0.0,0.5306450571496827,0.5295819057726061,280
CID4290A,Cancer Epithelial,0.1638906952572894,1.6613428697454942,0.26085353006438017,0.27217079690494467,0.0004934616333580064,0.0004934616333580064,0.17254784097801237,0.17113818930222746,4053
CID4290A,Endothelial,0.3219170146372215,0.09947674571963872,0.3496147991820136,0.3649157778308881,0.026845637583892617,0.026845637583892617,0.21159370653822152,0.20910802858947386,298
CID4290A,Myeloid,0.21492969743504292,0.0224591059819755,0.2821013771749035,0.3030871914248543,0.0,0.0,0.2034681048934956,0.212424246438521,341
CID4290A,Normal Epithelial,0.2466194959403427,1.0960391700205192,0.7240775535391347,0.77055498435638,0.0,0.0,0.23021195713173093,0.22862317215196548,18
CID4290A,PVL,0.49303508525929324,0.05906143590082789,1.0508481156925136,0.9930062208757495,0.02142857142857143,0.02142857142857143,0.35534863495472935,0.3594380833285493,140
CID4290A,T-cells,0.08893859914849077,0.02676347669791966,0.06257761649004219,0.06452978094135062,0.0,0.0,0.1224248371987954,0.12462426779265008,542
CID4398,B-cells,0.045792032866161604,0.004740685092189844,0.20628704078285715,0.21778213995107606,0.0,0.0,0.11147648020651182,0.11338742596538265,36
CID4398,CAFs,0.5823249726888506,0.01705523235659434,1.943361135381165,1.9222401989884346,0.016853932584269662,0.016853932584269662,0.5046097733385582,0.5032863351215348,178
CID4398,Endothelial,0.2647870148717051,0.0572629519121192,0.43863950439472277,0.46568729712273094,0.019801980198019802,0.019801980198019802,0.2325572090292237,0.24134797505258035,101
CID4398,Myeloid,0.14717154828526713,0.0061855614124810155,0.31566934233225313,0.33374567590420334,0.0044444444444444444,0.0,0.16952797406532485,0.17534189198414268,225
CID4398,PVL,0.3513772632379205,0.02365036766024036,0.9782789884493877,0.949661561006646,0.011494252873563218,0.011494252873563218,0.34604283567750516,0.35303222008651974,87
CID4398,Plasmablasts,0.04501682297465818,0.005053922165405594,0.11509330439037758,0.12176134766704913,0.0,0.0,0.10969375401136439,0.12403917066698444,91
CID4398,T-cells,0.06972767412347376,0.0045848897951915905,0.1341201541263491,0.1420784876812285,0.0,0.0,0.12871356660807987,0.13369195948936832,3733
CID4461,CAFs,0.4704438318924543,0.11158254254288932,1.363584637108873,1.3837243292788253,0.0,0.0,0.3066670684946193,0.31489364577443674,41
CID4461,Cancer Epithelial,0.10953979905654855,1.024679695446487,0.3814033066974485,0.40422554999281396,0.0,0.0,0.1281944622219187,0.12841629748523092,207
CID4461,Endothelial,0.17072418428366987,0.11248813371294539,0.18234323575342082,0.19493410030732022,0.0,0.0,0.13243956334162815,0.13605532050357194,182
CID4461,Myeloid,0.112426513687783,0.1039001129226551,0.1708493806172981,0.18146197558982213,0.0,0.0,0.1332464906472101,0.13656619343367385,53
CID4461,PVL,0.19171100047825373,0.053949969238450864,0.5049785467064838,0.4950561728599836,0.0,0.0,0.18978232460339808,0.19454933999861188,48
CID4461,Plasmablasts,0.06336016264212323,0.19600224045444184,0.251787617587013,0.2602866666927878,0.0,0.0,0.11033413049683094,0.1126083921259283,32
CID4461,T-cells,0.05910235146054149,0.05744714812723763,0.06867554636930027,0.07378416410742894,0.0,0.0,0.10147377739708383,0.10443439421180797,68
CID4463,CAFs,0.8169428973096747,0.04932776596395323,2.455604705493422,2.3326060176906864,0.0,0.0,0.5309207578693896,0.5155383810652894,25
CID4463,Cancer Epithelial,0.15332057718967942,1.4937185371235961,0.31925110195237294,0.331795850345755,0.0,0.0,0.16976873268571063,0.16884544306212781,659
CID4463,Endothelial,0.3096090470287716,0.10344259472217905,0.43605039928723416,0.45415443271858336,0.02531645569620253,0.012658227848101266,0.2357445957296661,0.23323982296030155,79
CID4463,Myeloid,0.20999831009816303,0.04609444254694657,0.2686482571942267,0.29025388444835204,0.0,0.0,0.19499050104250826,0.2053273077767474,101
CID4463,Normal Epithelial,0.21594532647660564,1.1943639752373978,0.4489043859662812,0.5057523341774142,0.0,0.0,0.19413828185260423,0.19581744019745753,26
CID4463,PVL,0.3688034691695319,0.022578546361477502,0.9442786539563283,0.8884770854111883,0.0,0.0,0.31817964138590926,0.3199291157878886,31
CID4463,T-cells,0.1012911234784008,0.03704336361133711,0.06722107163826346,0.07013682461811029,0.0,0.0,0.13549278705676557,0.1412448184212079,217
CID4465,B-cells,0.07389602019331562,0.09988103476202018,0.2777718687990485,0.2889678616215747,0.0,0.0,0.1356133853761896,0.13924885960055233,33
CID4465,CAFs,0.5029917771969339,0.04628956263761677,1.3900772987808336,1.3895692822062733,0.005277044854881266,0.005277044854881266,0.31415255457534386,0.3168281500867551,379
CID4465,Cancer Epithelial,0.15299898766956888,0.6572276164192393,0.345586704185511,0.36783132808968555,0.0,0.0,0.15565726406590827,0.15611890424791555,124
CID4465,Endothelial,0.20729143372022904,0.06551189937559358,0.25187300505823484,0.2620726214025575,0.006802721088435374,0.003401360544217687,0.15889268939173196,0.16018103963541253,294
CID4465,Myeloid,0.16189100697227335,0.04145622212327205,0.19740838634278862,0.2069347252503894,0.0,0.0,0.15084513395254326,0.15330140596303762,181
CID4465,Normal Epithelial,0.18946556777678575,1.1666404737998761,0.4160445121440569,0.45668452242181595,0.0,0.0,0.18026486042356832,0.18005877606017087,10
CID4465,PVL,0.2707754051862904,0.039161785230869064,0.6244499316328114,0.6079604006171807,0.0,0.0,0.2140905615703614,0.21678546156071904,317
CID4465,Plasmablasts,0.07530076397877035,0.0868734139923459,0.3726176600814177,0.39302544212532387,0.0,0.0,0.13008140401564522,0.13814749094239673,110
CID4465,T-cells,0.07090199117293626,0.022217747357713487,0.09301876019735254,0.09984511733028406,0.0,0.0,0.10421238508901237,0.11040121352671713,116
CID4471,B-cells,0.11890301576943714,0.06447234372182375,0.28509720652147746,0.3014114637817084,0.0,0.0,0.1312857462492638,0.13583295230832448,99
CID4471,CAFs,0.734096069906775,0.0787735428883989,2.4649390429883344,2.3705718242063814,0.06037151702786378,0.047987616099071206,0.5555439205035422,0.5396696706492335,1292
CID4471,Cancer Epithelial,0.2165608593842605,1.337655719907845,0.375079653291881,0.3909158369636881,0.018867924528301886,0.018867924528301886,0.2246112745978172,0.22491201998396224,212
CID4471,Endothelial,0.318169987249317,0.15430497127006285,0.5707552506568245,0.5880277675698048,0.09251259899208063,0.08567314614830814,0.24773935751243817,0.25234699547403305,2778
CID4471,Myeloid,0.2394723470879414,0.06493842225579347,0.5457294472112492,0.5820922983072163,0.021052631578947368,0.017543859649122806,0.2454529164088709,0.26202785122091987,285
CID4471,Normal Epithelial,0.2842989126956145,1.1014371560405882,0.960235102260498,1.0219624358793633,0.002034587995930824,0.002034587995930824,0.2561723011711532,0.2575464929210629,1966
CID4471,PVL,0.45151515194434855,0.09172637445764568,1.3184899828936936,1.2769899648472531,0.02178988326848249,0.017120622568093387,0.40948240670759634,0.4139568034360684,1285
CID4471,Plasmablasts,0.12964706639751092,0.0697581857072795,0.29365156345439286,0.30741134885101573,0.0,0.0,0.14283244687009156,0.1585627982222163,51
CID4471,T-cells,0.16236093242890048,0.07657569578748792,0.28806635465533015,0.2981797782458364,0.0031201248049922,0.0031201248049922,0.1689404638278782,0.17318142054697935,641
CID4495,B-cells,0.0820897283248855,0.034078509647710156,0.18069769532057292,0.18847133718493803,0.0,0.0,0.09914701283153725,0.10251321857174164,773
CID4495,CAFs,0.6809334877392392,0.06774258644319638,2.214950023665141,2.130427847863683,0.09482758620689655,0.09482758620689655,0.563511882429534,0.5491410191447801,232
CID4495,Cancer Epithelial,0.13923063491804752,0.8175535495381364,0.3411509780568737,0.3613750828836015,0.004222972972972973,0.004222972972972973,0.15545633728435435,0.15594095024287313,1184
CID4495,Endothelial,0.3131031076046281,0.09770926757213302,0.4769695195037747,0.4949648676004961,0.09239130434782608,0.09239130434782608,0.22741711352102675,0.22884396312776129,184
CID4495,Myeloid,0.21921212384575436,0.04619965422875853,0.4036647862588308,0.4333260120897596,0.024526198439241916,0.022296544035674472,0.23407539992989868,0.24822423611730604,897
CID4495,PVL,0.4261474005106676,0.08682055754228228,1.0169755565975795,0.9028619807421863,0.05759162303664921,0.05759162303664921,0.3724442894662774,0.36714052953308474,191
CID4495,Plasmablasts,0.07854696040698131,0.034503559834647674,0.13967374616829129,0.1487304335428303,0.00196078431372549,0.00196078431372549,0.12796068889230797,0.1400134118056373,1020
CID4495,T-cells,0.12006996902407686,0.03275212015706464,0.14772004039742756,0.1549387772997126,0.0045662100456621,0.0045662100456621,0.14375384931273366,0.14794686729103557,3504
CID4513,B-cells,0.18410568854433895,0.002402864804938285,0.2949244251203871,0.3152344412541179,0.0,0.0,0.21432288599226193,0.2280585519325957,43
CID4513,CAFs,0.5967716746329104,0.05595867614902918,1.8932373023545634,1.7969094347139316,0.07692307692307693,0.07692307692307693,0.5017428326363842,0.4995979811420945,13
CID4513,Cancer Epithelial,0.5065003105663446,0.1259988098784204,1.716198361489355,1.6241293082393335,0.2637051039697543,0.2637051039697543,0.480742723255436,0.47900038862436206,1058
CID4513,Endothelial,0.3925786856545096,0.10718330821468029,0.648215842848567,0.658366958658667,0.19135802469135801,0.19135802469135801,0.2746374697512837,0.2794574051620875,162
CID4513,Myeloid,0.23894990209413153,0.006784235503917211,0.33765811182210603,0.36202789895532644,0.005366726296958855,0.005366726296958855,0.2545472963560436,0.2708211175410194,2795
CID4513,PVL,0.5910226419607967,0.09282661285253473,1.6546635043328974,1.5060005590032972,0.18292682926829268,0.18292682926829268,0.49663266898096986,0.48458492739028763,82
CID4513,T-cells,0.15476557313320655,0.0016645406357641416,0.13042463236693352,0.13736703637093797,0.0,0.0,0.1503543446080367,0.15583207765578924,1466
CID4515,B-cells,0.07117344329557056,0.06565870946337056,0.15748019487743978,0.16424902226956054,0.0,0.0,0.09697972006705982,0.10039590570071272,494
CID4515,CAFs,0.8124727104139584,0.11795550512458404,2.5351011917049986,2.4440420464362735,0.23529411764705882,0.20320855614973263,0.6342750703492401,0.5970594728619809,187
CID4515,Cancer Epithelial,0.23005174814811827,1.0589162026479524,0.7361981672886202,0.7830740419199314,0.00875979714153988,0.00875979714153988,0.2411124594833368,0.24087718627433383,2169
CID4515,Endothelial,0.334545381571505,0.15756619296432706,0.4246284673616994,0.44961765749889504,0.09016393442622951,0.09016393442622951,0.23042269123313644,0.23475708855549554,122
CID4515,Myeloid,0.23069867198099553,0.07419428870793146,0.33122099816344136,0.3563463435546067,0.04440497335701599,0.03374777975133215,0.2017077289235144,0.2122749965532308,563
CID4515,Normal Epithelial,0.27110216067261145,1.0864271166269415,0.7446481902451545,0.7845298794935773,0.0,0.0,0.22584594618157242,0.22447754821367294,36
CID4515,PVL,0.5289914824304858,0.12200502923883469,1.4460785499833055,1.3507424300338302,0.08130081300813008,0.056910569105691054,0.456732545565647,0.43891449881886624,123
CID4515,Plasmablasts,0.11680992004136367,0.12299550467785979,0.21433820817383153,0.22230593805788226,0.0,0.0,0.14164363880730904,0.15448466542410072,36
CID4515,T-cells,0.11722539197865503,0.07184832907578902,0.11789020460746226,0.12250207696725617,0.002386634844868735,0.002386634844868735,0.1339763395960797,0.1408133115822071,419
CID4523,CAFs,0.7639363131991788,0.10572324597216813,2.510414858130988,2.470185651338103,0.16666666666666666,0.14285714285714285,0.5523684236910418,0.5253762473270107,42
CID4523,Cancer Epithelial,0.13169340551980876,1.0344985159022109,0.33539104882832577,0.35309123346816995,0.0,0.0,0.14379878759784365,0.14320700643847348,1167
CID4523,Endothelial,0.28586538795669697,0.6650404638213221,0.43058291667233656,0.4566865180729538,0.0,0.0,0.16850129338408562,0.17674518732279276,3
CID4523,Myeloid,0.18901396994365538,0.07833898479921268,0.17170200200251745,0.1866080705597089,0.028169014084507043,0.022535211267605635,0.15446965051188724,0.15772008063070622,355
CID4523,PVL,0.6264127531304454,0.1648792477519365,1.735661474467141,1.6034967976024834,0.1,0.1,0.5022772141831348,0.48488601970553213,10
CID4523,T-cells,0.14710788305253264,0.08658720998845894,0.13688837406853327,0.14573130265355247,0.01694915254237288,0.01694915254237288,0.12886098032467716,0.13528327071693177,177
CID4530N,CAFs,0.7494431814596838,0.08443810805581801,2.3966865812553606,2.297557719881384,0.10597826086956522,0.035326086956521736,0.551698880070177,0.5443292068111771,368
CID4530N,Cancer Epithelial,0.17345048830145407,1.35574628453848,0.35862860706267197,0.387558729546139,0.0029154518950437317,0.0029154518950437317,0.17999916061516433,0.17934875966131686,1715
CID4530N,Endothelial,0.3217486335265986,0.16837943749523254,0.6574117274612321,0.666452225917584,0.25984251968503935,0.17421259842519685,0.2752184095760825,0.277399487246416,1016
CID4530N,Myeloid,0.20254499439682996,0.09158591514568222,0.45116462759291237,0.48011182348963266,0.10416666666666667,0.03125,0.20605844676228435,0.21532148237656015,96
CID4530N,Normal Epithelial,0.2329197205176686,1.257664911444588,0.8154410766525791,0.8827938851472801,0.01507537688442211,0.01507537688442211,0.2302910315889476,0.23236585866378218,398
CID4530N,PVL,0.4025559772491612,0.08124367880859178,1.185981568331479,1.0967773953195024,0.05970149253731343,0.029850746268656716,0.38368282170129464,0.3845103823779977,469
CID4530N,Plasmablasts,0.12220980244588303,0.28901444223916345,0.2512809356579979,0.2585820949642835,0.01818181818181818,0.01818181818181818,0.14993691740767165,0.1626470798709544,55
CID4530N,T-cells,0.11525197876578458,0.09157860725911864,0.12247838237790327,0.12855220980057885,0.010273972602739725,0.003424657534246575,0.13889708118308286,0.1416816826456507,292
CID4535,B-cells,0.0792113783832221,0.18233329871330187,0.19096201270791016,0.20225850410472698,0.0,0.0,0.09759175792137047,0.09977531337433478,56
CID4535,CAFs,0.47795794567447064,0.2732563965765232,1.4466025874099753,1.3127826058000278,0.06862745098039216,0.029411764705882353,0.4018087760175795,0.38746074280729814,102
