sample,patient,radius_um,null,mark,n_cells,n_positive,n_strata,n_positive_in_frozen_strata,expected_pairs_analytic,statistic,observed,null_mean,null_sd,null_025,null_975,observed_over_null_mean,p_permutation,p_holm_all_configurations_per_statistic,p_holm_primary_three_sections
NCBI783,P08,50,global,coexpression,14453,912,1,0,508.6905379030101,qualifying_centers,118.0,129.74687343671835,31.9159926928344,70.95,195.04999999999995,0.9094631483166516,0.6385,1.0,
NCBI783,P08,50,global,coexpression,14453,912,1,0,508.6905379030101,maximum_local_z,4.762021988411771,4.718529844876694,0.5734905436979182,3.7687165278382473,5.994729109433293,1.009217308137258,0.4585,1.0,
NCBI783,P08,50,technical,coexpression,14453,912,45,0,509.78607698322867,positive_pairs,569.0,509.5567783891946,22.77804847476473,466.95,555.0,1.1166567184106875,0.006,0.048,
NCBI783,P08,50,technical,coexpression,14453,912,45,0,509.78607698322867,qualifying_centers,118.0,98.06303151575788,24.28954530298031,53.0,148.04999999999995,1.2033076907380578,0.21,1.0,
NCBI783,P08,50,technical,coexpression,14453,912,45,0,509.78607698322867,maximum_local_z,4.393280247581004,4.865844065228631,0.6507319026070996,3.8518952767304495,6.493169139873322,0.9028814299610272,0.772,1.0,
NCBI783,P08,50,context,coexpression,14453,912,175,0,557.6335113617108,positive_pairs,569.0,557.8314157078539,24.240579597980314,511.0,606.05,1.020021432959228,0.325,0.9750000000000001,
NCBI783,P08,50,context,coexpression,14453,912,175,0,557.6335113617108,qualifying_centers,118.0,130.52226113056528,28.303205668987143,77.0,189.04999999999995,0.9040603417217934,0.67,1.0,
NCBI783,P08,50,context,coexpression,14453,912,175,0,557.6335113617108,maximum_local_z,3.985667916462073,5.033260434069903,0.7509281838115567,3.9743767406070494,7.230731575951059,0.7918660217705554,0.971,1.0,
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,positive_pairs,1857.0,1654.0255127563782,57.37206116941886,1548.0,1772.0,1.122715451290332,0.001,0.015,
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,qualifying_centers,2129.0,1421.1880940470235,137.01123207983787,1157.95,1697.1499999999999,1.4980423836350805,0.0005,0.015,
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,maximum_local_z,7.336702596872972,4.402111419180016,0.5443561804324208,3.5246699545707743,5.627181351656037,1.666632644713837,0.001,0.023,
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,positive_pairs,1857.0,1660.5592796398198,52.14223024436332,1562.95,1764.05,1.1182979269507252,0.0005,0.015,0.0015
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,qualifying_centers,2129.0,1691.0770385192595,129.17120913463387,1435.95,1940.05,1.2589609766472818,0.0005,0.015,
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,maximum_local_z,6.099577268555539,4.702688738893908,1.4114622543523432,3.5309219431707324,6.841426914723913,1.297040396934751,0.081,1.0,
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,positive_pairs,53.0,69.20060030015007,9.13157518203322,52.0,88.0,0.7658893097764798,0.9735,0.9750000000000001,
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,qualifying_centers,1.0,2.0710355177588795,4.933690077012858,0.0,17.0,0.4828502415458937,0.3585,1.0,
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,maximum_local_z,4.256573255352821,6.377993952357148,2.2069514017023732,4.301180795693202,12.43754919032913,0.6673843354429173,0.9785,1.0,
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,positive_pairs,1857.0,1779.1330665332666,56.234434413131964,1669.95,1894.0,1.0437667844701808,0.0915,0.4575,
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,qualifying_centers,2129.0,2126.126063031516,123.35522537649435,1886.95,2369.0,1.0013517246312227,0.489,1.0,
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,maximum_local_z,5.2154211724899,4.783592782428102,1.245641746358827,3.581357404317966,9.899494936611665,1.090272815789852,0.1935,1.0,
NCBI783,P08,150,global,coexpression,14453,912,1,0,3239.2760481596915,positive_pairs,3653.0,3238.2041020510255,103.04665436663991,3048.95,3445.0,1.128094426687388,0.0005,0.015,
NCBI783,P08,150,global,coexpression,14453,912,1,0,3239.2760481596915,qualifying_centers,2502.0,909.0530265132567,144.07049488737064,635.0,1209.05,2.7523146912525167,0.0005,0.015,
NCBI783,P08,150,global,coexpression,14453,912,1,0,3239.2760481596915,maximum_local_z,7.750663314133074,4.086608916176422,0.5343431052794885,3.2790121599105517,5.341891783845208,1.8966002064579432,0.0005,0.015,
NCBI783,P08,150,technical,coexpression,14453,912,45,0,3270.235758192045,positive_pairs,3653.0,3274.3656828414205,92.59825203102196,3099.9,3464.0,1.115635928858749,0.0005,0.015,
NCBI783,P08,150,technical,coexpression,14453,912,45,0,3270.235758192045,qualifying_centers,2502.0,1466.8834417208604,164.07285827882765,1162.0,1801.1,1.7056569928042833,0.0005,0.015,
NCBI783,P08,150,technical,coexpression,14453,912,45,0,3270.235758192045,maximum_local_z,5.336886404635243,4.464209392357219,1.1745069956929988,3.2740971976284654,8.79668139728235,1.1954829927494122,0.146,1.0,
NCBI783,P08,150,context,coexpression,14453,912,175,0,3517.7787785772407,positive_pairs,3653.0,3517.1965982991496,104.42778859798614,3314.0,3727.0,1.0386112626648514,0.0955,0.4575,
NCBI783,P08,150,context,coexpression,14453,912,175,0,3517.7787785772407,qualifying_centers,2502.0,2159.4432216108053,162.84366340615762,1846.85,2469.1499999999996,1.1586319913212024,0.015,0.24,
NCBI783,P08,150,context,coexpression,14453,912,175,0,3517.7787785772407,maximum_local_z,5.567332819716949,4.5018257392485,1.130807273584106,3.334620455387428,7.475508830476326,1.2366833240964845,0.1235,1.0,
